"","rank","athlete","age","team","noc","t","year","gender","event","distance","round"
"664","8","Liam Tancock","23","Great Britain","GBR","2:00.76",2008,"mens","individual-medley",200,"final"
"665","1","Michael Phelps","27","United States","USA","1:54.27",2012,"mens","individual-medley",200,"final"
"666","2","Ryan Lochte","27","United States","USA","1:54.90",2012,"mens","individual-medley",200,"final"
"667","3","László Cseh, Jr.","26","Hungary","HUN","1:56.22",2012,"mens","individual-medley",200,"final"
"668","4","Thiago Pereira","26","Brazil","BRA","1:56.74",2012,"mens","individual-medley",200,"final"
"669","5","Kosuke Hagino","17","Japan","JPN","1:57.35",2012,"mens","individual-medley",200,"final"
"670","6","Ken Takakuwa","27","Japan","JPN","1:58.53",2012,"mens","individual-medley",200,"final"
"671","7","James Goddard","29","Great Britain","GBR","1:59.05",2012,"mens","individual-medley",200,"final"
"672","8","Markus Deibler","22","Germany","GER","1:59.10",2012,"mens","individual-medley",200,"final"
"673","1","Tamás Darnyi","21","Hungary","HUN","4:14.75",1988,"mens","individual-medley",400,"final"
"674","2","Dave Wharton","19","United States","USA","4:17.36",1988,"mens","individual-medley",400,"final"
"675","3","Stefano Battistelli","18","Italy","ITA","4:18.01",1988,"mens","individual-medley",400,"final"
"676","4","József Szabó","19","Hungary","HUN","4:18.15",1988,"mens","individual-medley",400,"final"
"677","5","Patrick Kühl","20","East Germany","GDR","4:18.44",1988,"mens","individual-medley",400,"final"
"678","6","Jens-Peter Berndt","25","West Germany","FRG","4:21.71",1988,"mens","individual-medley",400,"final"
"679","7","Luca Sacchi","20","Italy","ITA","4:23.23",1988,"mens","individual-medley",400,"final"
"680","8","Peter Bermel","21","West Germany","FRG","4:24.02",1988,"mens","individual-medley",400,"final"
"681","1","Tamás Darnyi","25","Hungary","HUN","4:14.23",1992,"mens","individual-medley",400,"final"
"682","2","Eric Namesnik","21","United States","USA","4:15.57",1992,"mens","individual-medley",400,"final"
"683","3","Luca Sacchi","24","Italy","ITA","4:16.34",1992,"mens","individual-medley",400,"final"
"684","4","Dave Wharton","23","United States","USA","4:17.26",1992,"mens","individual-medley",400,"final"
"685","5","Christian Geßner","24","Germany","GER","4:17.88",1992,"mens","individual-medley",400,"final"
"686","6","Patrick Kühl","24","Germany","GER","4:19.66",1992,"mens","individual-medley",400,"final"
"687","7","Serghei Mariniuc","23","Unified Team","EUN","4:22.93",1992,"mens","individual-medley",400,"final"
"688","8","Takahiro Fujimoto","22","Japan","JPN","4:23.86",1992,"mens","individual-medley",400,"final"
"689","1","Tom Dolan","20","United States","USA","4:14.90",1996,"mens","individual-medley",400,"final"
"690","2","Eric Namesnik","25","United States","USA","4:15.25",1996,"mens","individual-medley",400,"final"
"691","3","Curtis Myden","22","Canada","CAN","4:16.28",1996,"mens","individual-medley",400,"final"
"692","4","Matt Dunn","22","Australia","AUS","4:16.66",1996,"mens","individual-medley",400,"final"
"693","5","Marcel Wouda","24","Netherlands","NED","4:17.71",1996,"mens","individual-medley",400,"final"
"694","6","Luca Sacchi","28","Italy","ITA","4:18.31",1996,"mens","individual-medley",400,"final"
"695","7","Marcin Maliński","23","Poland","POL","4:20.50",1996,"mens","individual-medley",400,"final"
"696","8","Serghei Mariniuc","27","Moldova","MDA","4:21.15",1996,"mens","individual-medley",400,"final"
"697","1","Tom Dolan","24","United States","USA","4:11.76",2000,"mens","individual-medley",400,"final"
"698","2","Erik Vendt","19","United States","USA","4:14.23",2000,"mens","individual-medley",400,"final"
"699","3","Curtis Myden","26","Canada","CAN","4:15.33",2000,"mens","individual-medley",400,"final"
"700","4","Alessio Boggiatto","19","Italy","ITA","4:15.93",2000,"mens","individual-medley",400,"final"
"701","5","Terence Parkin","20","South Africa","RSA","4:16.92",2000,"mens","individual-medley",400,"final"
"702","6","Justin Norris","20","Australia","AUS","4:17.87",2000,"mens","individual-medley",400,"final"
"703","7","Cezar Bădiţă","21","Romania","ROU","4:20.91",2000,"mens","individual-medley",400,"final"
"704","8","Shinya Taniguchi","19","Japan","JPN","4:20.93",2000,"mens","individual-medley",400,"final"
"705","1","Michael Phelps","19","United States","USA","4:08.26",2004,"mens","individual-medley",400,"final"
"706","2","Erik Vendt","23","United States","USA","4:11.81",2004,"mens","individual-medley",400,"final"
"707","3","László Cseh, Jr.","18","Hungary","HUN","4:12.15",2004,"mens","individual-medley",400,"final"
"708","4","Alessio Boggiatto","23","Italy","ITA","4:12.28",2004,"mens","individual-medley",400,"final"
"709","5","Oussama Mellouli","20","Tunisia","TUN","4:14.49",2004,"mens","individual-medley",400,"final"
"710","6","Ioannis Kokkodis","23","Greece","GRE","4:18.60",2004,"mens","individual-medley",400,"final"
"711","7","Jiro Miki","21","Japan","JPN","4:19.97",2004,"mens","individual-medley",400,"final"
"712","8","Travis Nederpelt","19","Australia","AUS","4:20.08",2004,"mens","individual-medley",400,"final"
"713","1","Michael Phelps","23","United States","USA","4:03.84",2008,"mens","individual-medley",400,"final"
"714","2","László Cseh, Jr.","22","Hungary","HUN","4:06.16",2008,"mens","individual-medley",400,"final"
"715","3","Ryan Lochte","24","United States","USA","4:08.09",2008,"mens","individual-medley",400,"final"
"716","4","Alessio Boggiatto","27","Italy","ITA","4:12.16",2008,"mens","individual-medley",400,"final"
"717","5","Luca Marin","22","Italy","ITA","4:12.47",2008,"mens","individual-medley",400,"final"
"718","6","Gergő Kis","20","Hungary","HUN","4:12.84",2008,"mens","individual-medley",400,"final"
"719","7","Brian Johns","26","Canada","CAN","4:13.38",2008,"mens","individual-medley",400,"final"
"720","8","Thiago Pereira","22","Brazil","BRA","4:15.40",2008,"mens","individual-medley",400,"final"
"721","1","Ryan Lochte","27","United States","USA","4:05.18",2012,"mens","individual-medley",400,"final"
"722","2","Thiago Pereira","26","Brazil","BRA","4:08.86",2012,"mens","individual-medley",400,"final"
"723","3","Kosuke Hagino","17","Japan","JPN","4:08.94",2012,"mens","individual-medley",400,"final"
"724","4","Michael Phelps","27","United States","USA","4:09.28",2012,"mens","individual-medley",400,"final"
"725","5","Chad le Clos","20","South Africa","RSA","4:12.42",2012,"mens","individual-medley",400,"final"
"726","6","Yuya Horihata","21","Japan","JPN","4:13.30",2012,"mens","individual-medley",400,"final"
"727","7","Thomas Fraser-Holmes","20","Australia","AUS","4:13.49",2012,"mens","individual-medley",400,"final"
"728","8","Luca Marin","26","Italy","ITA","4:14.89",2012,"mens","individual-medley",400,"final"
